# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html

# Note: this file is not published by Unicode, but since its format follows Unicode's format, it's
# basically derived from Unicode data files.

# Should be an empty file, used for temporary non-final emoji font drops.

1F9B9 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: light skin tone
1F9B9 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: light skin tone
1F9B9 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: medium-light skin tone
1F9B9 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: medium-light skin tone
1F9B9 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: medium skin tone
1F9B9 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: medium skin tone
1F9B9 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: medium-dark skin tone
1F9B9 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: medium-dark skin tone
1F9B9 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: dark skin tone
1F9B9 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: dark skin tone

1F9B9 1F3FB                                 ; Emoji_Modifier_Sequence   ; supervillain: light skin tone
1F9B9 1F3FC                                 ; Emoji_Modifier_Sequence   ; supervillain: medium-light skin tone
1F9B9 1F3FD                                 ; Emoji_Modifier_Sequence   ; supervillain: medium skin tone
1F9B9 1F3FE                                 ; Emoji_Modifier_Sequence   ; supervillain: medium-dark skin tone
1F9B9 1F3FF                                 ; Emoji_Modifier_Sequence   ; supervillain: dark skin tone

265F FE0F  ; emoji style; # (1.1) BLACK CHESS PAWN
267E FE0F  ; emoji style; # (4.1) PERMANENT PAPER SIGN
